Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~US29080671(A).PrjPCB|ReportField=ProjectFullPath~E:\working\ART-TS9080671\US29080671_0927\Document\US29080671(A).PrjPCB|ReportField=Title~Bill of Materials For PCB Document [US29080671(A).PcbDoc]|ReportField=TotalQuantity~1097|ReportField=ReportTime~13:48:51|ReportField=ReportDate~2017-9-28|ReportField=ReportDateTime~2017-9-28 13:48:51|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~US29080671(A).PcbDoc|ReportField=DataSourceFullPath~E:\working\ART-TS9080671\US29080671_0927\Document\US29080671(A).PcbDoc
33.33MHz|有源晶振, 33.33MHz, 1.8V电压|B2|OSC3225-4P|XTAL-50MHz-3.3V|1
C0402-0.47uF|X7R|C1|C0402|C0402-0.1uF/16V|1
C0805-10uF/6.3V||C2, C5, C8, C15, C22, C29, C36, C41, C46, C51, C56, C61, C66, C71, C76, C81, C86, C91, C101, C108, C112, C119, C124, C129, C134, C139, C144, C149, C154, C159, C164, C169, C179, C184, C189, C194, C201, C205, C273, C274, C279, C280, C316, C319, C321, C335, C337, C343, C349, C358, C371, C380, C385, C389, C393, C397, C408, C415, C419, C426, C433, C437, C441, C445, C449, C453, C455, C457, C460, C471|C0805|C1210-22uF/16V|70
C0402-0.1uF/16V|X7R|C3, C6, C239, C245, C248, C250, C252, C254, C256, C257, C258, C260, C262, C264, C266, C267, C268, C270, C285, C286, C287, C288, C289, C290, C291, C292, C293, C294, C295, C296, C297, C298, C299, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C317, C320, C322, C323, C324, C325, C326, C327, C328, C329, C336, C338, C339, C340, C342, C344, C348, C454, C456, C458, C459, C461, C462, C463, C464, C467, C468, C469, C479|C0402|C0402-0.1uF/16V|77
C0603-1uF/16V|X7R|C4, C7, C220, C225, C243, C315, C318, C345, C465, C466|C0603|C0603-100nF/16V|10
C0805-4.7uF/16V|X7R|C9, C16, C23, C30, C37, C42, C47, C52, C57, C62, C67, C72, C77, C82, C87, C92, C102, C120, C125, C130, C135, C140, C145, C150, C155, C160, C165, C170, C180, C185, C195, C269, C271, C272, C350, C359, C372, C381, C386, C390, C394, C398, C405, C409, C416, C420, C423, C427, C430, C434, C438, C442, C488|C0805|C, C0805-4.7uF/50V|53
C0402-0.47uF/6.3V|X7R|C10, C11, C12, C13, C14, C17, C18, C19, C20, C21, C24, C25, C26, C27, C28, C31, C32, C33, C34, C35, C38, C39, C40, C43, C44, C45, C48, C49, C50, C53, C54, C55, C58, C59, C60, C63, C64, C65, C68, C69, C70, C73, C74, C75, C78, C79, C80, C83, C84, C85, C88, C89, C90, C93, C94, C95, C96, C97, C98, C99, C100, C103, C104, C105, C106, C107, C109, C110, C111, C113, C114, C115, C116, C117, C118, C121, C122, C123, C126, C127, C128, C131, C132, C133, C136, C137, C138, C141, C142, C143, C146, C147, C148, C151, C152, C153, C156, C157, C158, C161, C162, C163, C166, C167, C168, C171, C172, C173, C174, C175, C176, C177, C178, C181, C182, C183, C186, C187, C188, C190, C191, C192, C193, C196, C197, C198, C199, C200, C202, C203, C204, C206, C207, C208, C209, C210, C211, C251, C253, C255, C259, C261, C263, C265, C275, C276, C277, C278, C281, C282, C283, C284, C346, C347, C351, C352, C353, C354, C355, C356, C357, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C373, C374, C375, C376, C377, C378, C379, C382, C383, C384, C387, C388, C391, C392, C395, C396, C399, C400, C401, C402, C403, C404, C406, C407, C410, C411, C412, C414, C417, C418, C421, C422, C424, C425, C428, C429, C431, C432, C435, C436, C439, C440, C443, C444, C446, C447, C448, C450, C451, C452, C509, C510, C511, C512, C513, C514, C515, C516, C517, C518, C519, C520, C521, C522, C523, C524, C525, C526, C527, C528, C529, C530, C531, C532, C533, C534, C535, C536, C537, C538, C539, C540, C541, C542, C543, C544, C545, C546, C547, C548, C549, C550, C551, C552, C553, C554, C555, C556, C557, C558, C559, C600, C601, C602, C603, C604, C605, C606, C607|C0402|C0402-0.1uF/16V, C0805-4.7uF/50V|281
C1210-100uF/6.3V||C212, C213, C221, C222, C223, C226, C227, C228, C230, C231, C232, C235, C236|C1210|C1210-22uF/16V|13
C1210-47uF/10V||C214, C215, C216, C237, C249|C1210|C1210-22uF/16V|5
C1210-22uF/16V||C217, C240, C241, C504, C505|C1210|C1210-22uF/16V|5
C1210-10uF/25V||C218, C219, C238, C242|C1210|C1210-22uF/16V|4
1500PF||C224|C0603|C1210-22uF/16V|1
3300PF||C229|C0603|C1210-22uF/16V|1
2200PF||C233|C0603|C1210-22uF/16V|1
22P|X7R|C244|C0603|C0603-100nF/16V|1
C0402-470pF/NC|X7R|C330, C331, C332|C0402|C0402-0.1uF/16V|3
C0402-22pF|X7R|C333, C334|C0402|C0402-0.1uF/16V|2
C0402-100P|X7R|C341|C0402|C0402-0.1uF/16V|1
C0402-22P|X7R|C470, C472|C0402|C0402-0.1uF/16V|2
C0402-0.047uF/16V|X7R|C473, C474, C476|C0402|C0402-0.1uF/16V|3
C0402-0.01uF/16V|X7R|C475, C477, C478|C0402|C0402-0.1uF/16V|3
C0805-4.7uF/16V||C480, C481, C482, C486, C487, C492, C493, C496, C497, C500, C501|0805|C|11
CT41-0402-2X1-16V-104(0.1μF)||C483, C484, C485, C489, C490, C491, C494, C495, C498, C499, C502, C503, C506, C507, C508|c0402|C_2|15
DM3AT-SF-PEJM5||CN1|HRS-SD|HRS-SD|1
WTBV2.54-3||CN17|WTB2.54-3V|WTBV2_0.54-3|1
XC7Z045-1FFG900I|667 MHz Zynq?7000 AP SoC, 130 PS I/O, 378 FPGA I/O, 900-Ball BGA, Speed Grade 1, Industrial Grade, Pb-Free|D1|FFG900|XC7Z045-1FFG900I|1
XC7A200T-1FFG1156I|Artix-7 FPGA, 500 User I/Os, 16 GTP, 1156-Ball BGA, Speed Grade 1, Industrial Grade, Pb-Free|D2, D3|FFG1156|XC7A200T-1FFG1156I|2
LMZ31506RUQ||D4, D25|RUQ_47|LMZ31506H_RUQ_47|2
TPS65261-1RHBT|TPS65261-1RHBT|D5|QFN-32N|TPS65261RHBT|1
TPS54325||D6|HTSSOP-14|TPS54325|1
REF3012AIDBZ||D8, D15, D22|SOT-23|REF3012AIDBZ|3
MT41K256M16HA-125IT||D9, D10|BGA96C80P16X9_1400X900X120|MT41K256M16|2
AR8031-AL1B|IC XCVR ETHERNET PHY 10/100/1000G-BIT 3.3V QFN48|D11|QFN-48N|AR8031_QFN48|1
MAX3491ESD||D12|SOIC-16|MAX3491ESD|1
ADuM1201AR|Quad-Channel Digital Isolators|D13|SOIC-8|ADuM1201AR|1
TJA1050T|以太网芯片，high speed CAN transceiver,3.3V,SO-8PIN|D14|SOIC-8|TJA1050T|1
W25Q128FVSIG||D16, D18|SOIC-W8||2
TXS02612RTWR||D17|QFN-24|TXS02612|1
THGBM5G7A2JBAIM|IC INAND MEM FLASH 8GB 2.7-3.6V TFBGA169|D19|BGA-169|SDIN5C2_TFBGA_169P|1
USB3320C||D20|QFN-32N|USB3320C|1
MIC2025-1BMM||D21|RM-8|MIC2025-1BMM|1
TXB0102DCUT||D23|MSOP-8||1
